purchase_TF,Variant,date,id
False,A,2020-01-02,0x3e778d
False,A,2019-12-13,0x77cb57
False,A,2019-12-30,0x16f252
False,A,2019-09-06,0x1b0fbe
False,A,2019-12-26,0x576696
False,A,2019-11-15,0x7c72af
False,A,2019-11-23,0x410cfd
True,A,2020-06-28,0x96dd50
False,A,2019-09-10,0x4e6181
False,A,2019-10-14,0x18d921
False,A,2019-12-22,0x3bd552
True,A,2019-12-03,0x78c189
False,A,2020-05-31,0x7eebb9
False,B,2020-08-08,0x430bc8
False,A,2020-05-19,0x4b6376
False,A,2020-06-20,0x361382
False,A,2019-09-23,0x4ce30e
False,A,2020-02-17,0x8b5060
False,A,2020-04-07,0x4c0104
False,A,2020-07-25,0x509e95
False,A,2020-05-07,0x57dcc9
True,A,2020-05-27,0x5a6926
False,A,2020-04-20,0x6cdc12
True,A,2020-03-28,0x5b8395
False,A,2019-10-03,0x8f4cd0
False,A,2019-10-16,0x24804b
True,A,2020-07-07,0x55acde
False,A,2020-01-11,0x810f5a
False,A,2019-09-10,0x943c7a
False,A,2019-10-20,0x186b70
False,A,2020-04-02,0x8fee09
False,A,2020-05-31,0x1869ab
False,A,2020-08-25,0x1e255d
False,A,2019-10-20,0x7ded00
True,A,2020-03-15,0x3cc6a5
False,A,2019-09-26,0x8b34ef
False,A,2020-08-23,0x3c6b7f
True,A,2019-08-27,0x19023d
True,A,2020-01-10,0x59416c
True,A,2019-11-13,0x89026b
False,A,2020-01-26,0x520f84
False,A,2019-10-18,0x91746d
True,A,2020-06-07,0x84ca1b
False,A,2020-04-12,0x37dbd4
False,A,2020-07-30,0x58b657
True,A,2020-05-14,0x741214
False,A,2020-07-24,0x6c273a
False,A,2020-08-25,0x52e1d8
False,A,2019-08-17,0x8c7025
False,A,2020-04-03,0x11eb11
False,A,2020-02-27,0x42565c
False,A,2020-07-13,0x4f783e
False,A,2020-04-04,0x6b54af
False,A,2020-01-01,0x1dde22
False,A,2020-04-22,0x65fd09
False,A,2019-10-11,0x6773b1
False,A,2020-08-16,0x73e787
False,A,2019-08-20,0x8b38e1
False,A,2019-08-19,0x8b8a47
False,A,2019-11-07,0x383f74
False,A,2020-07-20,0x469c18
False,A,2020-04-07,0x5e5b86
False,A,2020-01-22,0x343ae5
False,A,2019-09-18,0x1782a8
False,A,2020-01-13,0x9188d7
False,A,2019-09-22,0x5af0f0
False,A,2019-08-07,0x54157e
False,A,2019-09-11,0x20c58d
False,A,2020-01-27,0x7dd2cb
False,A,2019-12-29,0x553301
False,A,2020-07-20,0x791e6c
True,A,2020-07-12,0x489931
False,A,2020-03-05,0x1f333d
True,A,2020-03-08,0x1962ff
True,A,2020-04-30,0x2a6c16
False,A,2019-08-19,0x606420
False,A,2020-01-08,0xf779b
False,A,2019-11-13,0x19a410
True,A,2019-09-06,0x8d8974
True,B,2020-08-29,0x34a87d
False,B,2020-08-30,0x93812e
False,A,2020-08-15,0x13d47e
False,A,2020-01-23,0x15d69c
False,A,2020-07-31,0x5c45e4
False,A,2020-01-15,0x2262ae
False,A,2020-02-12,0x202a14
False,B,2020-08-01,0x36255d
False,A,2020-06-30,0x83fec6
True,A,2019-12-13,0x892b7b
False,A,2020-04-30,0x2cd1d8
True,A,2020-08-08,0x916e89
False,A,2019-08-10,0x28fdd4
False,A,2020-03-25,0x3f1f83
False,A,2020-06-05,0x5b0be4
False,B,2020-08-20,0x4d6da5
False,A,2019-12-10,0x575437
False,A,2020-05-22,0x3c69f6
False,A,2019-10-10,0x45a598
False,B,2020-08-01,0x229f23
False,A,2020-04-01,0x6650d9
False,A,2020-07-20,0x588a9e
False,A,2020-04-17,0x590a2a
False,A,2020-03-07,0x22e1c1
True,A,2020-07-03,0x20fa15
False,A,2020-05-11,0x20927e
False,A,2019-08-29,0x82e002
False,A,2019-10-17,0x65a667
True,B,2020-08-28,0x8c2162
False,A,2019-12-08,0x54871c
False,A,2020-04-17,0x4adeff
False,A,2020-03-02,0x2cf457
True,A,2020-03-21,0x4b64a8
False,A,2019-12-19,0x6ba584
False,A,2020-06-22,0x564de3
False,A,2020-06-06,0x79a502
False,A,2020-02-19,0x8f73a9
False,A,2020-01-08,0x573b51
True,A,2020-08-25,0x252f7d
False,A,2020-05-19,0x47777f
